,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.657,0.007,0.644,0.668,0.0,0.0,2263.0,1791.0,1.0
Omega_m,0.439,0.028,0.393,0.488,0.001,0.001,2203.0,1742.0,1.0
dL[0],2.391,0.013,2.371,2.412,0.0,0.0,3931.0,2915.0,1.0
dL[1],6.249,0.039,6.19,6.305,0.001,0.001,4932.0,3182.0,1.0
dL[2],7.257,0.051,7.179,7.328,0.001,0.001,4206.0,2843.0,1.0
dL[3],1.218,0.009,1.204,1.233,0.0,0.0,2624.0,2095.0,1.0
dL[4],10.998,0.102,10.845,11.141,0.003,0.002,3267.0,2523.0,1.0
dL[5],4.287,0.021,4.255,4.32,0.0,0.0,10844.0,8835.0,1.0
dL[6],5.121,0.028,5.079,5.163,0.001,0.0,6679.0,3906.0,1.0
dL[7],9.401,0.079,9.284,9.514,0.002,0.002,3512.0,2644.0,1.0
dL[8],5.355,0.03,5.311,5.4,0.001,0.0,6145.0,3731.0,1.0
dL[9],9.4,0.079,9.284,9.513,0.002,0.002,3512.0,2644.0,1.0
dL[10],8.279,0.064,8.182,8.368,0.002,0.001,3791.0,2670.0,1.0
dL[11],10.888,0.101,10.738,11.029,0.003,0.002,3281.0,2530.0,1.0
dL[12],2.597,0.013,2.576,2.618,0.0,0.0,4473.0,3617.0,1.0
dL[13],2.168,0.012,2.149,2.187,0.0,0.0,3522.0,2674.0,1.0
dL[14],12.381,0.124,12.198,12.554,0.004,0.003,3138.0,2352.0,1.0
dL[15],13.15,0.136,12.952,13.342,0.004,0.003,3080.0,2324.0,1.0
dL[16],9.605,0.082,9.485,9.723,0.002,0.002,3473.0,2626.0,1.0
dL[17],4.426,0.022,4.392,4.46,0.0,0.0,10010.0,7425.0,1.0
dL[18],2.117,0.012,2.098,2.136,0.0,0.0,3445.0,2624.0,1.0
dL[19],4.463,0.023,4.429,4.497,0.0,0.0,9780.0,7037.0,1.0
dL[20],13.699,0.145,13.485,13.899,0.004,0.003,3047.0,2323.0,1.0
dL[21],5.838,0.035,5.784,5.887,0.001,0.001,5384.0,3493.0,1.0
dL[22],11.828,0.115,11.657,11.989,0.003,0.002,3184.0,2424.0,1.0
dL[23],11.541,0.111,11.383,11.702,0.003,0.002,3210.0,2466.0,1.0
dL[24],2.651,0.013,2.63,2.672,0.0,0.0,4635.0,3723.0,1.0
dL[25],13.318,0.139,13.114,13.511,0.004,0.003,3070.0,2324.0,1.0
dL[26],10.405,0.094,10.267,10.538,0.003,0.002,3345.0,2521.0,1.0
dL[27],10.472,0.095,10.333,10.606,0.003,0.002,3336.0,2528.0,1.0
dL[28],5.132,0.028,5.091,5.174,0.001,0.0,6648.0,3888.0,1.0
dL[29],6.758,0.045,6.691,6.822,0.001,0.001,4512.0,3036.0,1.0
dL[30],5.667,0.033,5.617,5.715,0.001,0.0,5614.0,3511.0,1.0
dL[31],7.725,0.056,7.641,7.806,0.001,0.001,3989.0,2780.0,1.0
dL[32],1.071,0.008,1.058,1.084,0.0,0.0,2549.0,2033.0,1.0
dL[33],13.497,0.142,13.288,13.694,0.004,0.003,3059.0,2328.0,1.0
dL[34],2.018,0.012,1.999,2.036,0.0,0.0,3314.0,2589.0,1.0
dL[35],9.564,0.081,9.444,9.68,0.002,0.002,3481.0,2630.0,1.0
dL[36],12.771,0.13,12.582,12.954,0.004,0.003,3107.0,2349.0,1.0
dL[37],8.73,0.07,8.62,8.824,0.002,0.001,3663.0,2689.0,1.0
dL[38],10.833,0.1,10.684,10.973,0.003,0.002,3287.0,2533.0,1.0
dL[39],2.561,0.013,2.54,2.582,0.0,0.0,4367.0,3595.0,1.0
dL[40],6.324,0.04,6.264,6.381,0.001,0.001,4859.0,3194.0,1.0
dL[41],4.536,0.023,4.502,4.572,0.0,0.0,9288.0,6093.0,1.0
dL[42],10.523,0.095,10.382,10.658,0.003,0.002,3330.0,2530.0,1.0
dL[43],12.601,0.127,12.415,12.78,0.004,0.003,3120.0,2349.0,1.0
dL[44],7.34,0.052,7.262,7.414,0.001,0.001,4164.0,2853.0,1.0
dL[45],3.711,0.018,3.685,3.739,0.0,0.0,10716.0,9240.0,1.0
dL[46],5.367,0.03,5.323,5.412,0.001,0.0,6121.0,3712.0,1.0
dL[47],7.373,0.052,7.296,7.449,0.001,0.001,4148.0,2849.0,1.0
dL[48],10.603,0.096,10.46,10.739,0.003,0.002,3319.0,2535.0,1.0
dL[49],9.617,0.082,9.493,9.731,0.002,0.002,3471.0,2626.0,1.0
dL[50],8.748,0.07,8.638,8.842,0.002,0.001,3659.0,2686.0,1.0
dL[51],10.298,0.092,10.163,10.429,0.003,0.002,3360.0,2531.0,1.0
dL[52],5.156,0.028,5.114,5.198,0.001,0.0,6589.0,3888.0,1.0
dL[53],8.106,0.061,8.012,8.191,0.002,0.001,3848.0,2690.0,1.0
dL[54],5.068,0.027,5.026,5.108,0.001,0.0,6823.0,3856.0,1.0
dL[55],8.016,0.06,7.925,8.101,0.002,0.001,3879.0,2712.0,1.0
dL[56],12.824,0.131,12.632,13.008,0.004,0.003,3103.0,2351.0,1.0
dL[57],10.912,0.101,10.761,11.053,0.003,0.002,3278.0,2530.0,1.0
dL[58],4.351,0.022,4.319,4.385,0.0,0.0,10479.0,8219.0,1.0
dL[59],3.908,0.019,3.879,3.937,0.0,0.0,11561.0,9164.0,1.0
dL[60],6.279,0.039,6.219,6.335,0.001,0.001,4902.0,3193.0,1.0
dL[61],7.354,0.052,7.277,7.429,0.001,0.001,4157.0,2857.0,1.0
dL[62],6.229,0.039,6.17,6.284,0.001,0.001,4951.0,3187.0,1.0
dL[63],6.662,0.043,6.596,6.724,0.001,0.001,4582.0,3049.0,1.0
dL[64],10.613,0.097,10.47,10.749,0.003,0.002,3318.0,2531.0,1.0
dL[65],8.529,0.067,8.425,8.62,0.002,0.001,3717.0,2692.0,1.0
dL[66],14.512,0.158,14.291,14.741,0.005,0.003,3005.0,2312.0,1.0
dL[67],12.469,0.125,12.284,12.643,0.004,0.003,3131.0,2352.0,1.0
dL[68],1.338,0.009,1.324,1.354,0.0,0.0,2701.0,2187.0,1.0
dL[69],6.025,0.037,5.97,6.078,0.001,0.001,5161.0,3274.0,1.0
dL[70],3.312,0.016,3.287,3.336,0.0,0.0,7827.0,5863.0,1.0
dL[71],8.876,0.072,8.77,8.979,0.002,0.001,3627.0,2707.0,1.0
dL[72],3.911,0.019,3.883,3.94,0.0,0.0,11568.0,9164.0,1.0
dL[73],4.012,0.02,3.982,4.042,0.0,0.0,11703.0,9252.0,1.0
dL[74],13.796,0.147,13.59,14.008,0.004,0.003,3041.0,2323.0,1.0
dL[75],5.766,0.034,5.714,5.815,0.001,0.001,5477.0,3496.0,1.0
dL[76],1.848,0.011,1.83,1.866,0.0,0.0,3119.0,2541.0,1.0
dL[77],9.253,0.077,9.14,9.364,0.002,0.002,3542.0,2649.0,1.0
dL[78],9.516,0.081,9.397,9.632,0.002,0.002,3490.0,2629.0,1.0
dL[79],14.119,0.152,13.905,14.338,0.005,0.003,3025.0,2328.0,1.0
dL[80],0.874,0.007,0.862,0.885,0.0,0.0,2464.0,2001.0,1.0
dL[81],8.499,0.066,8.396,8.591,0.002,0.001,3725.0,2712.0,1.0
dL[82],9.892,0.086,9.761,10.011,0.002,0.002,3423.0,2578.0,1.0
dL[83],1.004,0.008,0.991,1.017,0.0,0.0,2518.0,2019.0,1.0
dL[84],7.831,0.058,7.745,7.914,0.001,0.001,3947.0,2779.0,1.0
dL[85],14.22,0.154,14.004,14.442,0.005,0.003,3019.0,2323.0,1.0
dL[86],4.768,0.025,4.731,4.806,0.0,0.0,7941.0,4848.0,1.0
dL[87],4.992,0.027,4.951,5.031,0.0,0.0,7045.0,3906.0,1.0
dL[88],7.914,0.059,7.824,7.996,0.002,0.001,3916.0,2750.0,1.0
dL[89],4.808,0.025,4.771,4.846,0.0,0.0,7752.0,4779.0,1.0
dL[90],4.461,0.023,4.427,4.495,0.0,0.0,9791.0,6982.0,1.0
dL[91],9.954,0.087,9.823,10.074,0.002,0.002,3413.0,2551.0,1.0
dL[92],14.786,0.163,14.559,15.022,0.005,0.004,2992.0,2293.0,1.0
dL[93],9.914,0.086,9.784,10.034,0.002,0.002,3419.0,2551.0,1.0
dL[94],4.398,0.022,4.364,4.431,0.0,0.0,10188.0,7911.0,1.0
dL[95],9.929,0.087,9.798,10.049,0.002,0.002,3417.0,2551.0,1.0
dL[96],9.351,0.078,9.236,9.463,0.002,0.002,3522.0,2643.0,1.0
dL[97],8.23,0.063,8.134,8.318,0.002,0.001,3807.0,2675.0,1.0
dL[98],5.868,0.035,5.814,5.918,0.001,0.001,5346.0,3457.0,1.0
dL[99],5.069,0.027,5.027,5.109,0.001,0.0,6819.0,3869.0,1.0
dL[100],6.94,0.047,6.869,7.006,0.001,0.001,4390.0,2977.0,1.0
dL[101],11.855,0.116,11.684,12.017,0.003,0.002,3181.0,2424.0,1.0
dL[102],1.814,0.011,1.796,1.831,0.0,0.0,3088.0,2516.0,1.0
dL[103],7.956,0.059,7.868,8.042,0.002,0.001,3900.0,2743.0,1.0
dL[104],10.454,0.094,10.316,10.588,0.003,0.002,3338.0,2528.0,1.0
dL[105],7.4,0.052,7.322,7.476,0.001,0.001,4135.0,2853.0,1.0
dL[106],13.682,0.145,13.468,13.882,0.004,0.003,3048.0,2323.0,1.0
dL[107],7.299,0.051,7.222,7.372,0.001,0.001,4185.0,2844.0,1.0
dL[108],7.919,0.059,7.829,8.001,0.002,0.001,3914.0,2750.0,1.0
dL[109],9.906,0.086,9.775,10.025,0.002,0.002,3421.0,2551.0,1.0
dL[110],14.872,0.164,14.643,15.11,0.005,0.004,2988.0,2293.0,1.0
dL[111],7.731,0.056,7.646,7.812,0.001,0.001,3987.0,2780.0,1.0
dL[112],3.214,0.015,3.19,3.239,0.0,0.0,7213.0,5382.0,1.0
dL[113],8.74,0.07,8.631,8.834,0.002,0.001,3661.0,2686.0,1.0
dL[114],12.969,0.133,12.775,13.156,0.004,0.003,3092.0,2345.0,1.0
dL[115],8.697,0.069,8.589,8.791,0.002,0.001,3672.0,2685.0,1.0
dL[116],14.448,0.157,14.229,14.676,0.005,0.003,3008.0,2312.0,1.0
dL[117],11.462,0.11,11.306,11.622,0.003,0.002,3218.0,2483.0,1.0
dL[118],11.435,0.109,11.272,11.587,0.003,0.002,3221.0,2484.0,1.0
dL[119],5.975,0.036,5.92,6.027,0.001,0.001,5216.0,3352.0,1.0
dL[120],5.162,0.028,5.121,5.205,0.001,0.0,6571.0,3878.0,1.0
dL[121],14.866,0.164,14.638,15.105,0.005,0.004,2988.0,2293.0,1.0
dL[122],8.113,0.061,8.02,8.199,0.002,0.001,3845.0,2690.0,1.0
dL[123],9.043,0.074,8.933,9.149,0.002,0.001,3588.0,2692.0,1.0
dL[124],6.967,0.047,6.896,7.034,0.001,0.001,4373.0,2977.0,1.0
dL[125],11.678,0.113,11.51,11.835,0.003,0.002,3197.0,2422.0,1.0
dL[126],11.596,0.112,11.43,11.752,0.003,0.002,3205.0,2467.0,1.0
dL[127],4.919,0.026,4.88,4.958,0.0,0.0,7292.0,4081.0,1.0
dL[128],4.296,0.021,4.263,4.328,0.0,0.0,10798.0,8840.0,1.0
dL[129],1.427,0.01,1.412,1.443,0.0,0.0,2762.0,2329.0,1.0
dL[130],10.156,0.09,10.02,10.28,0.003,0.002,3381.0,2542.0,1.0
dL[131],9.204,0.076,9.091,9.312,0.002,0.002,3553.0,2661.0,1.0
dL[132],0.65,0.006,0.641,0.659,0.0,0.0,2392.0,1886.0,1.0
dL[133],8.887,0.072,8.781,8.99,0.002,0.001,3624.0,2707.0,1.0
dL[134],10.71,0.098,10.565,10.848,0.003,0.002,3306.0,2530.0,1.0
dL[135],9.062,0.074,8.952,9.168,0.002,0.001,3583.0,2691.0,1.0
dL[136],7.851,0.058,7.764,7.934,0.001,0.001,3940.0,2757.0,1.0
dL[137],4.151,0.02,4.12,4.182,0.0,0.0,11456.0,9041.0,1.0
dL[138],9.094,0.075,8.983,9.201,0.002,0.001,3576.0,2691.0,1.0
dL[139],4.295,0.021,4.263,4.327,0.0,0.0,10801.0,8840.0,1.0
dL[140],13.985,0.15,13.775,14.202,0.005,0.003,3031.0,2330.0,1.0
dL[141],6.899,0.046,6.829,6.965,0.001,0.001,4417.0,2960.0,1.0
dL[142],14.294,0.155,14.076,14.517,0.005,0.003,3015.0,2323.0,1.0
dL[143],8.318,0.064,8.218,8.406,0.002,0.001,3779.0,2660.0,1.0
dL[144],9.736,0.084,9.609,9.852,0.002,0.002,3450.0,2621.0,1.0
dL[145],4.694,0.024,4.657,4.73,0.0,0.0,8334.0,5122.0,1.0
dL[146],6.378,0.04,6.317,6.436,0.001,0.001,4811.0,3197.0,1.0
dL[147],4.514,0.023,4.479,4.548,0.0,0.0,9436.0,6339.0,1.0
dL[148],9.167,0.076,9.055,9.275,0.002,0.001,3561.0,2660.0,1.0
dL[149],11.135,0.105,10.983,11.285,0.003,0.002,3252.0,2514.0,1.0
dL[150],6.051,0.037,5.996,6.105,0.001,0.001,5132.0,3210.0,1.0
dL[151],11.908,0.116,11.735,12.07,0.003,0.002,3177.0,2424.0,1.0
dL[152],6.23,0.039,6.171,6.285,0.001,0.001,4950.0,3187.0,1.0
dL[153],8.64,0.068,8.534,8.734,0.002,0.001,3687.0,2684.0,1.0
dL[154],3.256,0.016,3.231,3.28,0.0,0.0,7485.0,5697.0,1.0
dL[155],5.88,0.035,5.826,5.93,0.001,0.001,5330.0,3377.0,1.0
dL[156],1.454,0.01,1.438,1.47,0.0,0.0,2782.0,2332.0,1.0
dL[157],11.57,0.111,11.411,11.732,0.003,0.002,3208.0,2466.0,1.0
dL[158],10.685,0.098,10.541,10.823,0.003,0.002,3309.0,2530.0,1.0
dL[159],9.14,0.075,9.029,9.248,0.002,0.001,3566.0,2693.0,1.0
dL[160],12.694,0.129,12.506,12.875,0.004,0.003,3113.0,2349.0,1.0
dL[161],5.376,0.03,5.331,5.421,0.001,0.0,6105.0,3712.0,1.0
dL[162],6.953,0.047,6.882,7.02,0.001,0.001,4381.0,2977.0,1.0
dL[163],3.405,0.016,3.38,3.431,0.0,0.0,8434.0,7040.0,1.0
dL[164],3.426,0.016,3.401,3.451,0.0,0.0,8574.0,7345.0,1.0
dL[165],6.625,0.043,6.561,6.687,0.001,0.001,4609.0,3057.0,1.0
dL[166],3.707,0.018,3.68,3.735,0.0,0.0,10687.0,9240.0,1.0
dL[167],7.44,0.053,7.361,7.516,0.001,0.001,4115.0,2853.0,1.0
dL[168],6.905,0.046,6.834,6.971,0.001,0.001,4413.0,2960.0,1.0
dL[169],3.657,0.018,3.631,3.685,0.0,0.0,10330.0,8712.0,1.0
dL[170],10.204,0.091,10.071,10.333,0.003,0.002,3374.0,2543.0,1.0
dL[171],2.804,0.014,2.782,2.826,0.0,0.0,5143.0,3961.0,1.0
dL[172],4.113,0.02,4.082,4.143,0.0,0.0,11570.0,9280.0,1.0
dL[173],3.497,0.017,3.472,3.523,0.0,0.0,9086.0,7869.0,1.0
dL[174],6.396,0.041,6.335,6.455,0.001,0.001,4795.0,3200.0,1.0
dL[175],13.13,0.136,12.932,13.321,0.004,0.003,3081.0,2324.0,1.0
dL[176],8.383,0.065,8.282,8.472,0.002,0.001,3760.0,2677.0,1.0
dL[177],8.905,0.072,8.799,9.009,0.002,0.001,3620.0,2707.0,1.0
dL[178],2.566,0.013,2.546,2.587,0.0,0.0,4384.0,3618.0,1.0
dL[179],11.351,0.108,11.197,11.508,0.003,0.002,3229.0,2488.0,1.0
dL[180],10.246,0.091,10.111,10.375,0.003,0.002,3368.0,2532.0,1.0
dL[181],10.266,0.091,10.131,10.396,0.003,0.002,3365.0,2532.0,1.0
dL[182],11.019,0.103,10.869,11.166,0.003,0.002,3265.0,2523.0,1.0
dL[183],9.353,0.078,9.238,9.465,0.002,0.002,3521.0,2643.0,1.0
dL[184],7.971,0.06,7.883,8.057,0.002,0.001,3895.0,2743.0,1.0
dL[185],12.382,0.124,12.199,12.554,0.004,0.003,3138.0,2352.0,1.0
